record,model,feature_count,mean_heldout_brier_skill,mean_heldout_log_likelihood_gain_per_observation,minimum_group_log_likelihood_gain,maximum_heldout_survival_calibration_error,maximum_baseline_survival_calibration_error,l2_regularization,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,parent_group,held_observation_count,held_event_count,held_brier_skill,held_log_likelihood_gain,held_log_likelihood_gain_per_observation,held_survival_calibration_error,held_baseline_survival_calibration_error
model,geometry,4,0.008357453921058,0.0064617896947432914,1.2946834014508113,0.06742767815935347,0.06742996043055838,1.0,False,False,,,,,,,,
held_parent,geometry,4,,,,,,,False,False,1,512,341,0.00942945411139684,2.511325489116871,0.004904932595931388,0.025328213168569702,0.02773684593369108
held_parent,geometry,4,,,,,,,False,False,2,512,346,0.0039070256717465,1.2946834014508113,0.002528678518458616,0.04600572285107418,0.04510720532009638
held_parent,geometry,4,,,,,,,False,False,3,512,364,-0.0005135370044990761,1.346880676287583,0.0026306263208741854,0.06555455507786934,0.0641570332048591
held_parent,geometry,4,,,,,,,False,False,4,512,328,0.012170747177779218,5.233287017101475,0.010221263705276318,0.06742767815935347,0.06742996043055838
held_parent,geometry,4,,,,,,,False,False,5,512,352,0.01679357964886652,6.156005034586087,0.012023447333175952,0.04987887581409711,0.0447866372334661
model,kinematic,6,0.00771422303238527,0.006061114136837719,0.781214492439176,0.0672926481330437,0.06742996043055838,1.0,False,False,,,,,,,,
held_parent,kinematic,6,,,,,,,False,False,1,512,341,0.008462823107681428,2.2370823284572907,0.004369301422768146,0.025498574562498155,0.02773684593369108
held_parent,kinematic,6,,,,,,,False,False,2,512,346,0.00219664526622132,0.781214492439176,0.0015258095555452655,0.04624997300757083,0.04510720532009638
held_parent,kinematic,6,,,,,,,False,False,3,512,364,-0.0007730380450019503,1.202465855898481,0.002348566124801721,0.06532921605457487,0.0641570332048591
held_parent,kinematic,6,,,,,,,False,False,4,512,328,0.011748965052127747,5.220721056811499,0.010196720814084959,0.0672926481330437,0.06742996043055838
held_parent,kinematic,6,,,,,,,False,False,5,512,352,0.016935719780897807,6.074968456698116,0.011865172766988508,0.04994462185329762,0.0447866372334661
model,full,9,0.005286897971420124,0.004978990555460782,-0.7691180438500851,0.06728320024197165,0.06742996043055838,1.0,False,False,,,,,,,,
held_parent,full,9,,,,,,,False,False,1,512,341,0.008089438637807866,1.5760551027221936,0.0030782326225042844,0.025364970303453416,0.02773684593369108
held_parent,full,9,,,,,,,False,False,2,512,346,-0.005297751149692775,-0.7691180438500851,-0.0015021836793946974,0.046114414057688125,0.04510720532009638
held_parent,full,9,,,,,,,False,False,3,512,364,0.00020002587824974327,1.5227094415481588,0.0029740418780237476,0.06526495371047902,0.0641570332048591
held_parent,full,9,,,,,,,False,False,4,512,328,0.007739292705765788,4.447475188721683,0.008686474977972036,0.06728320024197165,0.06742996043055838
held_parent,full,9,,,,,,,False,False,5,512,352,0.015703483784969996,5.969094132837654,0.011658386978198543,0.05037149329706181,0.0447866372334661
