record,model,held_clone_index,history_length,state_mode_count,captured_total_drift_variance_fraction,captured_center_drift_variance_fraction,captured_relative_drift_variance_fraction,split_mode_count,trajectory_sha256,lag_frames,observed_msd,predicted_msd,observed_ngp,predicted_ngp,wave_number,observed_fs,predicted_fs,fs_scaled_absolute_error
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,1.0,0.00017184456337676634,0.00016836202057259004,0.006096013908619247,-0.014426347915435844,1.0,0.9999713596495858,0.9999719400522654,5.804193029963715e-07
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,1.0,0.00017184456337676634,0.00016836202057259004,0.006096013908619247,-0.014426347915435844,3.0,0.999742266374433,0.9997474884780729,5.2234498986372426e-06
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,1.0,0.00017184456337676634,0.00016836202057259004,0.006096013908619247,-0.014426347915435844,7.25,0.9984957026299639,0.9985261528562838,3.0496101525187628e-05
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,2.0,0.0006760754790630951,0.0006643714344778597,0.006297379164590611,-0.012979904202319648,1.0,0.9998873271029378,0.9998892774728423,1.9505896830592995e-06
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,2.0,0.0006760754790630951,0.0006643714344778597,0.006297379164590611,-0.012979904202319648,3.0,0.9989864009318942,0.9990039323736333,1.754922962189554e-05
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,2.0,0.0006760754790630951,0.0006643714344778597,0.006297379164590611,-0.012979904202319648,7.25,0.994094805471887,0.9941965005286156,0.00010229915312791611
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,4.0,0.0025509729833545023,0.002524210855078187,0.007367262060328006,0.006188656856079833,1.0,0.9995749283246746,0.9995793866542927,4.460225533579934e-06
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,4.0,0.0025509729833545023,0.002524210855078187,0.007367262060328006,0.006188656856079833,3.0,0.9961808617522988,0.9962208412156518,4.013273581934295e-05
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,4.0,0.0025509729833545023,0.002524210855078187,0.007367262060328006,0.006188656856079833,7.25,0.9779005906606164,0.9781295094257938,0.00023409206146684424
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,8.0,0.00832404917297206,0.0083047212923516,0.014765669429553485,0.08890797641440584,1.0,0.9986136288368089,0.9986169214571762,3.2971914984586284e-06
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,8.0,0.00832404917297206,0.0083047212923516,0.014765669429553485,0.08890797641440584,3.0,0.9875922293957351,0.9876269153126012,3.512169884860741e-05
held_clone,raw_hankel_16,1.0,64.0,17.0,0.9897447832486934,nan,nan,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,8.0,0.00832404917297206,0.0083047212923516,0.014765669429553485,0.08890797641440584,7.25,0.9296946394219306,0.9300436474645897,0.0003754007260663938
