model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se
contiguous_empirical_path,20.0,3.0,0.03920546825742555,0.03949186469853002,0.0072520364204308185,0.0,0.6597200432998781,0.6751140847848851,0.015394041485007004,0.0,0.9744123101214384,0.9742347768868321,0.00017753323460623083,0.0,0.9035299285871449,0.9029575283359126,0.0005724002512322857,0.0,0.7279802454348943,0.7268548226920929,0.001125422742801363,0.0
contiguous_empirical_path,100.0,3.0,0.05659083603195927,0.057100198209926144,0.008920497545284012,0.0,1.5834630847592217,1.591737265317109,0.0082741805578872,0.0,0.9639790450956659,0.9636844599785942,0.00029458511707169954,0.0,0.8717759715057776,0.87093838803019,0.0008375834755875999,0.0,0.6703659111293483,0.6685948251395887,0.0017710859897596132,0.0
contiguous_empirical_path,200.0,3.0,0.07456257264017895,0.07520056123369138,0.008483827554555678,0.0,1.9774077093607627,2.006542528897479,0.029134819536716483,0.0,0.953619289729251,0.9533016497076988,0.0003176400215522124,0.0,0.8430111843817114,0.8424183294324846,0.0005928549492267843,0.0,0.6248390513097886,0.623679630548327,0.0011594207614615826,0.0
contiguous_empirical_path,500.0,3.0,0.12314552417901559,0.1262955126161884,0.024941412184181222,0.0,2.1686922649737563,2.164410449673618,0.00428181530013827,0.0,0.9271309570787221,0.9255414798411173,0.0015894772376047195,0.0,0.777385259140767,0.7737458591055776,0.0036394000351893663,0.0,0.5352663746296294,0.5291930232489127,0.0060733513807167405,0.0
contiguous_empirical_path,1000.0,3.0,0.20237292517802755,0.2096882357573943,0.03488660464400317,0.0,1.9298632012993242,1.9242521838872673,0.00561101741205694,0.0,0.8870705019410708,0.8837103017827217,0.003360200158349147,0.0,0.6908064139664086,0.6839386458670308,0.006867768099377836,0.0,0.43549649723136263,0.4252107551608982,0.010285742070464454,0.0
contiguous_empirical_path,2000.0,3.0,0.3592617968226974,0.3804918087436149,0.05579623905970288,0.0,1.4656124023325798,1.444557669873739,0.02105473245884082,0.0,0.8154322453793682,0.8061750197934496,0.009257225585918571,0.0,0.5604949612953728,0.5420765220261176,0.018418439269255238,0.0,0.30989503533179513,0.2894792740466868,0.020415761285108358,0.0
contiguous_empirical_path,3000.0,3.0,0.5147625509727424,0.5428630069869955,0.051763438754496516,0.0,1.2183942617416585,1.188746539691488,0.029647722050170522,0.0,0.7525360043138369,0.7409790220423944,0.011556982271442529,0.0,0.4648999805427764,0.44362214992805216,0.02127783061472427,0.0,0.22896151342082938,0.2129683136864647,0.015993199734364666,0.0
direction_randomized_path,20.0,3.0,0.039205468257425546,0.03949186469853002,0.007252036420431041,0.0,0.6597200432998781,0.6751140847848851,0.015394041485007004,0.0,0.9744124179381218,0.9742347768868321,0.00017764105128970087,0.0,0.9035307978055788,0.9029575283359126,0.0005732694696661822,0.0,0.7279674668419281,0.7268548226920929,0.0011126441498352513,0.0
direction_randomized_path,100.0,3.0,0.19594029029405913,0.057100198209926144,2.4315168149450908,0.0,0.3535442673014111,1.591737265317109,1.2381929980156978,0.0,0.8800138618117028,0.9636844599785942,0.08367059816689137,0.0,0.6157644412497255,0.87093838803019,0.25517394678046446,0.0,0.2386454327203831,0.6685948251395887,0.4299493924192056,0.0
direction_randomized_path,200.0,3.0,0.3916977042548133,0.07520056123369138,4.208707193521912,0.0,0.24991200676069156,2.006542528897479,1.7566305221367877,0.0,0.7761767507884073,0.9533016497076988,0.1771248989192915,0.0,0.3884865728563048,0.8424183294324846,0.45393175657617985,0.0,0.06505260473513545,0.623679630548327,0.5586270258131916,0.0
direction_randomized_path,500.0,3.0,0.9772776400422104,0.1262955126161884,6.738023464160231,0.0,0.15991226768904956,2.164410449673618,2.0044981819845686,0.0,0.5370244910778613,0.9255414798411173,0.388516988763256,0.0,0.10516780731561669,0.7737458591055776,0.6685780517899609,0.0,0.001856207073933175,0.5291930232489127,0.5273368161749795,0.0
direction_randomized_path,1000.0,3.0,1.9547213716994747,0.2096882357573943,8.322036425357949,0.0,0.1134177778395536,1.9242521838872673,1.8108344060477137,0.0,0.29501214901523287,0.8837103017827217,0.5886981527674888,0.0,0.013732520552579409,0.6839386458670308,0.6702061253144513,0.0,9.153986884771701e-06,0.4252107551608982,0.4252016011740134,0.0
direction_randomized_path,2000.0,3.0,3.918015454979443,0.3804918087436149,9.297239953513696,0.0,0.07951836426670256,1.444557669873739,1.3650393056070365,0.0,0.0921077039548896,0.8061750197934496,0.71406731583856,0.0,0.00032042063924025516,0.5420765220261176,0.5417561013868774,0.0,7.591779740846986e-10,0.2894792740466868,0.2894792732875088,0.0
direction_randomized_path,3000.0,3.0,5.877078008017531,0.5428630069869955,9.826079383519899,0.0,0.06373683499345772,1.188746539691488,1.1250097046980303,0.0,0.029847183464619245,0.7409790220423944,0.7111318385777752,0.0,9.95651597953679e-06,0.44362214992805216,0.44361219341207264,0.0,1.718453187273296e-13,0.2129683136864647,0.21296831368629288,0.0
within_particle_time_shuffle,20.0,3.0,0.03920546825742555,0.03949186469853002,0.0072520364204308185,4.88067743464862e-18,0.659720043299878,0.6751140847848851,0.015394041485007115,1.7289006972404347e-17,0.9744123101214384,0.9742347768868321,0.00017753323460623083,9.451627290755732e-18,0.9035299285871451,0.9029575283359126,0.0005724002512325077,6.696003607658595e-18,0.7279802454348943,0.7268548226920929,0.001125422742801363,7.185392682218733e-18
within_particle_time_shuffle,100.0,3.0,0.1931314757195568,0.057100198209926144,2.382325837285506,0.0003501927663853058,0.18363612044330102,1.591737265317109,1.4081011448738079,0.00023836116445450568,0.8804747676502979,0.9636844599785942,0.08320969232829634,1.1168792508401549e-05,0.6100937274733779,0.87093838803019,0.2608446605568121,2.9700960704985928e-05,0.21919428319894305,0.6685948251395887,0.4494005419406456,4.67873878712865e-05
