temperature,analysis_status,supported_shape_row_count,supported_cell_count,source_replicate_count,source_stationarity_pass,source_clock_shape_separation_supported_exploratory,maximum_baseline_normalized_error,maximum_fourth_normalized_error,maximum_gamma_normalized_error,maximum_inverse_gaussian_normalized_error,k2_baseline_max_normalized_error,k2_fourth_max_normalized_error,k2_gamma_max_normalized_error,k2_inverse_gaussian_max_normalized_error,k4_baseline_max_normalized_error,k4_fourth_max_normalized_error,k4_gamma_max_normalized_error,k4_inverse_gaussian_max_normalized_error,k7p25_baseline_max_normalized_error,k7p25_fourth_max_normalized_error,k7p25_gamma_max_normalized_error,k7p25_inverse_gaussian_max_normalized_error,baseline_all_k_pass,fourth_all_k_pass,gamma_all_k_pass,inverse_gaussian_all_k_pass,family_robust_resummation_pass,maximum_resummation_family_spread_normalized,marginal_variance_mixture_shape_closure_supported_exploratory,variance_mixture_family_selected,transient_marginal_shape_only,high_temperature_canary_only,high_temperature_control_resolved,replicate_provenance_validation_pass,parent_sample_count,independent_replicate_count,independently_prepared_parent_samples,independence_class,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,macro_fit_parameter_count,confirmatory_independent_parent_replication_required,next_required_action,blind_prediction_claim_allowed,static_environment_resolved,finite_exchange_resolved,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,variance_mixture_shape_closure_exploratory,54,18,3,1,1,1.1335918,5.6670164,0.46583767,0.42260495,0.12358653,0.072071711,0.061838599,0.059259219,0.5087491,1.0780892,0.39331277,0.37538652,1.1335918,5.6670164,0.46583767,0.42260495,0,0,1,1,1,0.15573554,1,0,1,0,0,1,1,0,0,decorrelated_parent_frames_plus_velocity_seeds,1,1,0,1,independent_parents_then_blind_ngp_prediction,0,0,0,0,0,0
0.58,high_temperature_canary_only,60,20,5,0,0,0.82430898,32.871489,0.47298385,0.48105076,0.56648726,0.40424178,0.37782441,0.38970751,0.82430898,0.72538503,0.47298385,0.48105076,0.59817885,32.871489,0.28939345,0.30509435,1,0,1,1,1,0.081809878,0,0,1,1,0,1,1,0,0,decorrelated_parent_frames_plus_velocity_seeds,1,1,0,1,independent_parents_then_blind_ngp_prediction,0,0,0,0,0,0
