temperature,replicate,lag,count_source,kernel_source,residual_source,model_code,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,1.0,20.0,calibration,calibration,calibration,ccc,1.1102230246251565e-16,0.042232784113929896,0.039439034265083064,0.07083717694680591,0.7863463877990609,0.6894572448102572,0.09688914298880369,0.9725270904261348,0.9742726065504118,0.00174551612427698,0.897260937196451,0.9031194881740169,0.005858550977565935,0.7147164550260644,0.7273620752980499,0.012645620271985458
0.45,1.0,20.0,calibration,calibration,heldout,cch,1.1102230246251565e-16,0.042127081302318785,0.039439034265083064,0.06815701974770594,0.7867240370704653,0.6894572448102572,0.09726679226020818,0.9725939361836955,0.9742726065504118,0.0016786703667163172,0.897494526192678,0.9031194881740169,0.005624961981338883,0.7152787070989612,0.7273620752980499,0.012083368199088618
0.45,1.0,20.0,calibration,heldout,calibration,chc,1.1102230246251565e-16,0.04222685258573815,0.039439034265083064,0.07068677954731895,0.7782007203001762,0.6894572448102572,0.08874347548991901,0.9725277098509824,0.9742726065504118,0.0017448966994294546,0.8972440047758562,0.9031194881740169,0.005875483398160686,0.7146554752016406,0.7273620752980499,0.012706600096409226
0.45,1.0,20.0,calibration,heldout,heldout,chh,1.1102230246251565e-16,0.04212114977412704,0.039439034265083064,0.06800662234821897,0.7785369858484232,0.6894572448102572,0.08907974103816607,0.9725945556511186,0.9742726065504118,0.001678050899293182,0.8974775893639707,0.9031194881740169,0.005641898810046175,0.7152176793030203,0.7273620752980499,0.012144395995029589
0.45,1.0,20.0,heldout,calibration,calibration,hcc,0.0,0.042366598925736645,0.039439034265083064,0.07423013050919125,0.7939855841388654,0.6894572448102572,0.10452833932860828,0.9724449448218242,0.9742726065504118,0.0018276617285876151,0.8969990311359042,0.9031194881740169,0.006120457038112703,0.714223040294634,0.7273620752980499,0.013139035003415844
0.45,1.0,20.0,heldout,calibration,heldout,hch,0.0,0.042260896114125535,0.039439034265083064,0.07154997331009127,0.7944115630628188,0.6894572448102572,0.10495431825256163,0.972511784933182,0.9742726065504118,0.0017608216172297908,0.8972325519486505,0.9031194881740169,0.0058869362253664015,0.7147849042087672,0.7273620752980499,0.01257717108928269
0.45,1.0,20.0,heldout,heldout,calibration,hhc,0.0,0.04236037041762,0.039439034265083064,0.07407220300836093,0.785607930635094,0.6894572448102572,0.09615068582483688,0.972445658079431,0.9742726065504118,0.0018269484709808603,0.8969818065718376,0.9031194881740169,0.006137681602179312,0.7141605410111558,0.7273620752980499,0.013201534286894079
0.45,1.0,20.0,heldout,heldout,heldout,hhh,0.0,0.04225466760600889,0.039439034265083064,0.07139204580926117,0.7859914826794938,0.6894572448102572,0.09653423786923665,0.9725124982398139,0.9742726065504118,0.0017601083105979187,0.8972153229004161,0.9031194881740169,0.0059041652736008254,0.7147223557584461,0.7273620752980499,0.012639719539603744
0.45,1.0,50.0,calibration,calibration,calibration,ccc,0.0,0.050610991797979614,0.047091920203606114,0.07472771505511955,1.1241265337374733,1.1419796763703234,0.017853142632850094,0.9674038100309464,0.9696073952007812,0.0022035851698347653,0.8809404338437241,0.8884326746989446,0.007492240855220489,0.6825976449560588,0.6994078256700247,0.016810180713965894
0.45,1.0,50.0,calibration,calibration,heldout,cch,0.0,0.05068089405469049,0.047091920203606114,0.07621209404006324,1.124335629537618,1.1419796763703234,0.017644046832705484,0.9673605250721857,0.9696073952007812,0.0022468701285954795,0.8807883117022751,0.8884326746989446,0.007644362996669485,0.6821615103698597,0.6994078256700247,0.01724631530016496
