replicate,temperature,block_size,first_count,second_count,heldout_probability,two_clock_probability,single_clock_probability,hmm_probability,poisson_probability
1.0,0.58,20.0,0.0,0.0,0.5722968161936731,0.5857426306344711,0.5858230480695915,0.5847731782133767,0.5661317785793327
1.0,0.58,20.0,0.0,1.0,0.14688231105686095,0.1475305170565788,0.14743078305872587,0.1424725585004435,0.1610442244882825
1.0,0.58,20.0,0.0,2.0,0.02542128640694402,0.023562598612886943,0.023602390838224078,0.0260900453831614,0.02290565838409122
1.0,0.58,20.0,0.0,3.0,0.0031532906113315023,0.0030554031072594513,0.0030592692875213694,0.0036155920871484937,0.0021719466093897415
1.0,0.58,20.0,0.0,4.0,0.0002882039806055674,0.0003512190219390373,0.0003500366698819719,0.0003863746992003058,0.00015446026462993833
1.0,0.58,20.0,0.0,5.0,8.47658766486963e-06,3.732479331337689e-05,3.6869743261291004e-05,3.3214895098322106e-05,8.787683176523029e-06
1.0,0.58,20.0,1.0,0.0,0.14401722442613502,0.1475305170565788,0.14743078305872587,0.1424725585004435,0.1610442244882825
1.0,0.58,20.0,1.0,1.0,0.05380090190892754,0.0439085928417609,0.043943325931582296,0.04600968576012575,0.04581131676818244
1.0,0.58,20.0,1.0,2.0,0.010180381785508426,0.008072908334868848,0.00808303394538542,0.009260673627227439,0.006515839828169225
1.0,0.58,20.0,1.0,3.0,0.0014834028413521852,0.0011796898345546223,0.0011772322856692364,0.0013107393470442538,0.0006178410585197533
1.0,0.58,20.0,1.0,4.0,6.781270131895704e-05,0.000150204059197398,0.00014877180269599492,0.0001406633123260763,4.393841588261514e-05
1.0,0.58,20.0,1.0,5.0,8.47658766486963e-06,1.7433152980501738e-05,1.7071970296024567e-05,1.210218977892188e-05,2.4997812801875132e-06
1.0,0.58,20.0,2.0,0.0,0.024599057403451665,0.023562598612886943,0.023602390838224078,0.0260900453831614,0.02290565838409122
1.0,0.58,20.0,2.0,1.0,0.010180381785508426,0.008072908334868848,0.00808303394538542,0.009260673627227439,0.006515839828169225
1.0,0.58,20.0,2.0,2.0,0.00206828739022819,0.0016961592596195809,0.0016935640659130962,0.001910540506039321,0.0009267615877796301
1.0,0.58,20.0,2.0,3.0,0.00023734445461634965,0.0002802911396658139,0.00027791918842998966,0.00027180403338167845,8.787683176523028e-05
1.0,0.58,20.0,2.0,4.0,2.542976299460889e-05,3.9927222724297825e-05,3.9156383824796554e-05,2.919839360082192e-05,6.249453200468783e-06
1.0,0.58,20.0,2.0,5.0,1.695317532973926e-05,5.133237364293493e-06,4.9615215556872616e-06,2.5126244243306596e-06,3.5554914322983084e-07
1.0,0.58,20.0,3.0,0.0,0.003187196961990981,0.0030554031072594513,0.0030592692875213694,0.0036155920871484937,0.0021719466093897415
1.0,0.58,20.0,3.0,1.0,0.0013562540263791407,0.0011796898345546223,0.0011772322856692364,0.0013107393470442538,0.0006178410585197533
1.0,0.58,20.0,3.0,2.0,0.0002542976299460889,0.0002802911396658139,0.00027791918842998966,0.00027180403338167845,8.787683176523028e-05
1.0,0.58,20.0,3.0,3.0,5.933611365408741e-05,5.21024218305052e-05,5.111062268911978e-05,3.870877784419127e-05,8.33260426729171e-06
1.0,0.58,20.0,3.0,4.0,0.0,8.280895318088672e-06,8.006369599975829e-06,4.159121662421563e-06,5.925819053830514e-07
1.0,0.58,20.0,3.0,5.0,0.0,1.1777310101285322e-06,1.1187724529454006e-06,3.5792134728758826e-07,3.371366773922561e-08
1.0,0.58,20.0,4.0,0.0,0.0002627742176109585,0.0003512190219390373,0.0003500366698819719,0.0003863746992003059,0.00015446026462993833
1.0,0.58,20.0,4.0,1.0,8.47658766486963e-05,0.000150204059197398,0.00014877180269599492,0.0001406633123260763,4.393841588261514e-05
1.0,0.58,20.0,4.0,2.0,1.695317532973926e-05,3.9927222724297825e-05,3.9156383824796615e-05,2.919839360082192e-05,6.249453200468783e-06
1.0,0.58,20.0,4.0,3.0,8.47658766486963e-06,8.280895318088673e-06,8.006369599975829e-06,4.159121662421563e-06,5.925819053830514e-07
1.0,0.58,20.0,4.0,4.0,0.0,1.4580882254131666e-06,1.3850862610200214e-06,4.469009392369842e-07,4.2142084674032e-08
1.0,0.58,20.0,4.0,5.0,0.0,2.2793631310171805e-07,2.1215428773699417e-07,3.8459235664655517e-08,2.397582895515902e-09
