model,replicate,realization,temperature,block_size,radial_bin_count,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,1.0,0.0,0.45,20.0,8.0,1781034.0,0.0005809980700701711,0.0010422480396814482,0.0004467182701853867,5.588675276768651e-05,0.00013692231419915046,0.0006827050512260291,0.0005155228239696469,0.000868217743334454,0.000868217743334454,0.0025619986548813256,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,1.0,0.45,20.0,8.0,1878443.0,7.623324985939206e-06,1.3308524407618094e-05,0.00042591884390097423,5.872810887963542e-05,0.00012407446470086292,0.0010003637182627312,0.0008545551817811109,0.004138338220814219,0.004138338220814219,0.0028053926511187877,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,2.0,0.45,20.0,8.0,1975852.0,8.152696720675756e-05,0.0020669678496229027,0.0009214089355696342,0.0003100088242821153,0.001078585221205297,0.0013520555516397526,0.0006347248260688276,0.0006997569360500111,0.0013520555516397526,0.0029776687296651505,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,3.0,0.45,20.0,8.0,2073261.0,0.00038758335023114654,0.001197941237224942,3.45584556133427e-05,0.00012221441602811023,0.00039850237844107905,8.25966783801757e-05,5.085598233500743e-05,0.0013673744769749918,0.0013673744769749918,0.004447534628870653,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,4.0,0.45,20.0,8.0,2170670.0,0.0007413165620396844,0.002333205030984664,0.00021298611274556123,0.00020124159655099394,9.943147783952888e-05,0.0010016373597717676,0.0007575757988096538,0.00110412603711868,0.00110412603711868,0.003906675378952729,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,5.0,0.45,20.0,8.0,2268079.0,0.00011390775692410315,0.0004445023084576061,0.00024260975739476276,0.00024750464021061624,0.0003563180522523357,9.808800988331257e-06,0.0010820204583736753,0.0009891077749060728,0.0010820204583736753,0.004155204707795956,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,6.0,0.45,20.0,8.0,2365488.0,0.0012077761067585957,0.00276259484471586,0.0003580672709489474,0.00016810568342162657,0.00036384557051627464,0.00020314703314538995,0.00034355020834304917,0.0018811795659939845,0.0018811795659939845,0.002435678553548093,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,7.0,0.45,20.0,8.0,2462897.0,0.0009688188278824672,0.0010850677698135414,0.0007493685527281135,7.083269413377113e-05,0.0003822869066939516,0.000829677891452496,0.0022594274413999527,0.0004353960357336706,0.0022594274413999527,0.0027658809770374493,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,8.0,0.45,20.0,8.0,2560306.0,0.00026617249948135413,0.0003127960607240965,0.0009259194067863241,0.0001266947410299979,0.00019921131936895264,0.0012552571632578058,0.0016340174476553726,0.0013242134455832,0.0016340174476553726,0.0031692575069802165,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,1.0,9.0,0.45,20.0,8.0,2657715.0,0.0014665958622026576,0.001005867904482427,0.0018545720651786946,0.0001605002850381121,0.0007731730193759612,0.002116638595035525,0.004348276007661092,0.0021627698249996885,0.004348276007661092,0.0016599901679839602,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
