block_size,independent_replicate_count,two_clock_selection_fraction,two_clock_transfer_pass_fraction,single_clock_transfer_pass_fraction,maximum_fano_relative_error,maximum_count_tv_distance,gamma_pair_distribution_pass_fraction,hmm_pair_distribution_pass_fraction,maximum_two_clock_pair_tv_distance,mean_two_clock_identity_rmse,ci95_low_two_clock_identity_rmse,ci95_high_two_clock_identity_rmse,ci95_critical_value,mean_time_scale_ratio
20.0,3.0,1.0,1.0,1.0,0.011851731909016783,0.010881446821505016,1.0,1.0,0.025919408046812958,0.009963655961265356,-0.001119717856308395,0.021047029778839106,4.302652729911275,10.6361930821156
50.0,3.0,1.0,1.0,0.3333333333333333,0.023132980302790207,0.029877247280817195,0.3333333333333333,1.0,0.056539444019418066,0.016780082530098345,-0.007244675163931177,0.040804840224127864,4.302652729911275,11.08488337723849
