record,model,held_clone_count,slow_mode_count,fit_parameters_from_macro_observables,state_dependent_memory_allowed,complete_event_clock_closure_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed,heldout_state_r_squared,heldout_state_r_squared_standard_error,maximum_heldout_state_r_squared,heldout_velocity_r_squared,heldout_velocity_r_squared_standard_error,maximum_heldout_velocity_r_squared,maximum_held_residual_state_correlation,maximum_held_residual_state_correlation_standard_error,maximum_maximum_held_residual_state_correlation,maximum_held_residual_lag_correlation,maximum_held_residual_lag_correlation_standard_error,maximum_maximum_held_residual_lag_correlation,terminal_diffusion_relative_error,terminal_diffusion_relative_error_standard_error,maximum_terminal_diffusion_relative_error,multi_k_fs_max_relative_error,multi_k_fs_max_relative_error_standard_error,maximum_multi_k_fs_max_relative_error,ngp_max_absolute_error,ngp_max_absolute_error_standard_error,maximum_ngp_max_absolute_error,event_rate_relative_error,event_rate_relative_error_standard_error,maximum_event_rate_relative_error,spectral_radius,spectral_radius_standard_error,maximum_spectral_radius,stationary_covariance_relative_error,stationary_covariance_relative_error_standard_error,maximum_stationary_covariance_relative_error,captured_force_history_variance_fraction,captured_force_history_variance_fraction_standard_error,maximum_captured_force_history_variance_fraction,integrity_gate_pass,numerical_gate_pass,orthogonality_gate_pass,macro_event_gate_pass,hankel_slow_force_bath_allowed
aggregate_model,raw_force_delay_2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998261222408322,2.637018084192535e-05,0.9983304233450403,0.9814433426628044,0.00012155069072628207,0.9817905652502473,0.9981958225892905,0.0008159654032514988,0.9998571119883032,0.9994784293745261,0.00021437446193205346,0.9998562477973414,2.5058454360923146,0.07478317703420513,2.6710291889099937,0.7584261226556643,0.004280232760619939,0.7667433776461863,0.26749431045842875,0.03392874267813666,0.35956206439846383,0.9549632975719936,0.04079345684213505,1.0571428571428574,0.9482074096493448,0.00014390612539306755,0.9485116558286397,2.9974975328464523e-15,3.164658233118714e-16,3.849091513834352e-15,1.0,0.0,1.0,,,,,
aggregate_model,hankel_slow_2,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9977091574821132,3.8513566562319556e-05,0.9977940394693232,0.9330968277000111,0.0003358316524857618,0.9338744751237662,0.047034030943385305,0.005686808174922636,0.06086342740731497,0.9603896829341785,0.00047338646325064467,0.9615478857829927,52.09388011719886,0.6515833307888402,54.02639970641283,1.0138861028173574,0.0017456046629788925,1.0167619037043178,0.24136906614155013,0.03635469721143423,0.3468703854627786,20.02180954319735,0.6208699455746942,21.480583197123245,0.9982425891768226,1.7138566403616027e-05,0.998276537725095,1.429051131706271e-15,2.8607998192696933e-16,2.059793384439831e-15,0.34564900013743804,0.0004593073671662181,0.34695682849842296,,,,,
aggregate_model,hankel_slow_4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.99688101893673,2.0295062223103783e-05,0.9969268637950265,0.941615615051326,0.00033649810890107784,0.9423824475698399,0.06596635343933484,0.004083469213788195,0.07352656850937422,0.9611751455223332,0.00012335432426863551,0.9614557771152858,44.03769426132929,0.8216755356466953,46.0169779306629,1.0091975218198894,0.006414654574209995,1.023122366862856,0.25432411735853977,0.034729425648744774,0.3547508237473992,20.305529634928654,0.6767810526132767,21.929880353056554,0.9976184845069735,2.2661345169790325e-05,0.9976741846970889,2.6712345164830902e-15,5.126560573391629e-16,3.810695486706975e-15,0.6076641192863058,0.00019636766193344152,0.608052778185006,,,,,
aggregate_model,hankel_slow_8,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9954750400484558,2.1337526570716717e-05,0.9955057672684842,0.9619152979339789,0.00023806986582446308,0.9624805455318319,0.11033447994384693,0.006943272157157613,0.12436022238646825,0.9357405825749294,0.0005767645976510681,0.937394542565737,21.23710593925583,0.2703257161487516,21.97564364598906,1.003684343712807,0.0012685884772982506,1.0070081881070119,0.2476655261251153,0.036238719092844145,0.3522970745926214,17.113040791844092,0.5906227672162692,18.59834194181105,0.9948719569200735,1.6849610555757984e-05,0.9949134179819423,3.046236345148936e-15,1.9902252345353882e-16,3.4974799679999506e-15,0.8734111383327667,0.00021247120264972905,0.8740173952666478,,,,,
aggregate_model,hankel_slow_16,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.9978631018384527,1.2822438889193656e-05,0.9978984608491184,0.9782648728255623,0.00011228909555836628,0.978599844547131,0.2456402832934522,0.01142883050958374,0.2709995196857439,0.8562456293077567,0.0006156931832195842,0.8572946298744828,3.026172584904334,0.07130738669865816,3.2083814495445298,0.8213992722405025,0.007073275297433433,0.8326754236324737,0.24440625196875662,0.028929822005145094,0.3253255954003209,0.5090233347343514,0.057874117280494554,0.6376881333769207,0.9904896158195632,4.946667410357959e-05,0.9906045351791992,5.835527702512764e-15,6.553446802386664e-16,7.537182137594277e-15,0.9896540434886135,5.291120158243954e-05,0.9897447832486934,,,,,
verdict,hankel_slow_8,4.0,8.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0
