temperature,model,segment_length,lag_count,required_replicate_count,required_realization_count,realization_completeness_pass,exact_information_pass,global_source_segment_schedule_preserved,provenance_claim_boundary_pass,stationarity_control_pass,maximum_ensemble_msd_relative_error,maximum_ensemble_ngp_absolute_error,maximum_ensemble_fs_absolute_error,maximum_ensemble_msd_mc_relative_se,maximum_ensemble_ngp_mc_se,maximum_ensemble_fs_mc_se,precision_pass,curve_transfer_pass,cell_pass,full_path_control,memory_length_selectable,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
0.58,cross_particle_segment_splice,1.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.3542800930550174,0.16335785182242604,0.11417686380995656,0.0011284272719487445,0.0006246307585605121,0.00033452872489423216,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,cross_particle_segment_splice,2.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.1502602747463262,0.10536444436571984,0.058264021494522145,0.0011204732482308134,0.0006974200508614915,0.00034235018556278763,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,cross_particle_segment_splice,4.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.03872928150664545,0.05309741180363248,0.021096911154097286,0.001229948724829774,0.0008163569224523221,0.0004157431866434846,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,cross_particle_segment_splice,8.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.03872928150664545,0.021347732326302327,0.012906633060295158,0.0014656893924673263,0.0007622680027734553,0.0005358171244449268,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,cross_particle_segment_splice,16.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.054934652664335726,0.015938617308529412,0.01738498625912055,0.0016288885651604185,0.0007890653465679502,0.0006597801067539436,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,cross_particle_segment_splice,32.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.09747627991387553,0.019609962119137736,0.03379383911848449,0.00018256576576603499,0.00026603517978195763,0.00014788816595804572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,cross_particle_segment_splice,37.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.08717803137352109,0.025608198643698454,0.029346815870265885,8.86049853308302e-18,2.031801060792063e-17,6.409875621278546e-18,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,within_particle_segment_shuffle,1.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.227777232650767,0.14449082289679893,0.09388950528201312,0.001542266223688623,0.0005123076520873874,0.0004993453511786605,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,within_particle_segment_shuffle,2.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.09811371840520344,0.09358362439950024,0.05037069824554491,0.0013932883426660619,0.0005855582146432047,0.0004908844282620606,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
0.58,within_particle_segment_shuffle,4.0,5.0,5.0,64.0,1.0,1.0,1.0,1.0,0.0,0.0441015313408748,0.047050836858300304,0.017295116419011713,0.0012814423975811616,0.0006500597527674481,0.0004958671752987897,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T058,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T058_block20_nonlinear_path_stationarity.csv
