record,member_index,epsilon,stride,frame_time,maximum_time,position_velocity_relative_l2_error,velocity_force_relative_l2_error,force_generator_relative_l2_error,generator_second_relative_l2_error,tangent_innovation_rms,tangent_innovation_lag1_correlation,tangent_innovation_squared_norm_lag1_correlation,symmetric_tangent_residual_rms,symmetric_tangent_residual_lag1_correlation,symmetric_tangent_residual_squared_norm_lag1_correlation,symmetric_tangent_residual_max_abs_component_excess_kurtosis,symmetric_tangent_residual_normalized_mean,dump_float_format_verified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,reference_epsilon,symmetric_residual_cross_epsilon_relative_l2_error,symmetric_residual_cross_epsilon_correlation,maximum_symmetric_residual_cross_epsilon_relative_l2_error,minimum_symmetric_residual_cross_epsilon_correlation
resolution_aggregate,,0.001,1,0.001,0.2,0.0054715487212895365,0.0038597011432302936,0.12475643193796035,0.295694211109454,298.2955004949869,0.12453719660349195,-0.0011549058506354992,234.74990256956633,0.5020699991293648,0.4973178650191494,326.76913986948654,1.4753959110298611,1.0,0.0,0.0,,,,,
resolution_member,1,0.001,1,0.001,0.2,,,,,140.91633770326257,0.4459485340770686,0.3897907199414682,138.21960571807043,0.4166451188688275,0.33248923796505125,1.298176408680102,0.9472645693449712,1.0,0.0,0.0,,,,,
resolution_member,2,0.001,1,0.001,0.2,,,,,170.8974596958616,0.6725864959300392,0.7672177057416744,163.47882687744692,0.6342223374541878,0.7152105432509754,6.785758033142459,0.6294979402442166,1.0,0.0,0.0,,,,,
resolution_member,3,0.001,1,0.001,0.2,,,,,152.96527273483943,0.5639706605933259,0.46852855205808996,147.46750125980412,0.5183915836239981,0.4114922722293085,7.274036771940251,0.570428255340582,1.0,0.0,0.0,,,,,
resolution_member,4,0.001,1,0.001,0.2,,,,,612.092749088196,0.020847100627197,-0.005499867279262812,441.39838117572157,0.49236072136637493,0.4939918213518988,90.50776470634577,2.08863649291993,1.0,0.0,0.0,,,,,
resolution_member,5,0.001,1,0.001,0.2,,,,,107.71104322790654,0.4467209151056116,0.2531690830216353,115.04469457925279,0.4971797408029955,0.3481553595749936,2.4019400808997116,2.6247473177558494,1.0,0.0,0.0,,,,,
resolution_member,6,0.001,1,0.001,0.2,,,,,170.2980591630329,0.5041776128499321,0.3632655208252103,181.79223072038556,0.5537448541408122,0.44068278905179925,13.085798624132426,1.1097507238217919,1.0,0.0,0.0,,,,,
resolution_member,7,0.001,1,0.001,0.2,,,,,137.22234075288202,0.5620631080452324,0.5187671006087118,135.8055931294411,0.5502319503343712,0.48434138778331426,3.4971440348059923,1.2693348464199523,1.0,0.0,0.0,,,,,
resolution_member,8,0.001,1,0.001,0.2,,,,,453.08863616671135,0.04097215511744962,-0.0048535913904524134,337.2300356589805,0.4684547099071256,0.4916420729951479,83.39863777613692,0.9554453721883174,1.0,0.0,0.0,,,,,
resolution_aggregate,,0.002,1,0.001,0.2,0.002752211341279968,0.0025796200018859913,0.08346098039178794,0.17523595721476087,184.91581282091505,0.35258633807418044,0.026752992710245727,165.73399836806107,0.5197639141560004,0.49427246181563467,39.16465582788839,0.7094444453467799,1.0,0.0,0.0,,,,,
resolution_member,1,0.002,1,0.001,0.2,,,,,169.39785416487965,0.297193940906101,0.0010751662948875556,153.2149172119396,0.4206026910292676,0.4069041679580373,15.434056772418224,1.4237060087208888,1.0,0.0,0.0,,,,,
resolution_member,2,0.002,1,0.001,0.2,,,,,281.266556487273,0.2741514988983923,0.0030558750981351155,228.94626716889346,0.5801598197248314,0.500095144214261,40.83183409988362,0.7905646390592899,1.0,0.0,0.0,,,,,
resolution_member,3,0.002,1,0.001,0.2,,,,,198.27585643253963,0.34859635529421834,0.010359816887760307,174.68600612641734,0.5198597386874771,0.4502201064535086,33.62167371826795,1.0771722358609683,1.0,0.0,0.0,,,,,
resolution_member,4,0.002,1,0.001,0.2,,,,,140.84048225455672,0.5373542434793764,0.5623356382570069,132.573397126316,0.4506894436559704,0.5095711418100907,5.198130849969216,3.6782336686862065,1.0,0.0,0.0,,,,,
resolution_member,5,0.002,1,0.001,0.2,,,,,107.40819261098645,0.4527090709133902,0.2509985043993865,114.80870681051563,0.5018676679426123,0.34598463663777224,2.544002374562054,2.6262472648521187,1.0,0.0,0.0,,,,,
resolution_member,6,0.002,1,0.001,0.2,,,,,170.608595327093,0.5025122110558956,0.3647658581786417,182.1017980660253,0.5519835372333834,0.44145306067805606,12.98159193582439,1.1085234055255306,1.0,0.0,0.0,,,,,
resolution_member,7,0.002,1,0.001,0.2,,,,,210.99399982425922,0.2317660229888548,0.027888712416064075,174.71980373890375,0.5379406649203343,0.528162732597002,54.796041443634465,1.2300371468522282,1.0,0.0,0.0,,,,,
resolution_member,8,0.002,1,0.001,0.2,,,,,146.39916860709337,0.513064454751776,0.43446850664602077,137.44395735982667,0.43471321998728557,0.44183085166430974,4.067312991297305,0.4886971275528387,1.0,0.0,0.0,,,,,
resolution_cross_epsilon,1,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.4890854099713448,0.8975212179270112,,
resolution_cross_epsilon,2,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.9029438860316176,0.7670826785910917,,
resolution_cross_epsilon,3,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.603054078015077,0.860875315624639,,
resolution_cross_epsilon,4,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.9562755215064818,0.2821040819198895,,
resolution_cross_epsilon,5,0.002,1,0.001,0.2,,,,,,,,,,,,,1.0,0.0,0.0,0.001,0.06334357312887577,0.9979353264671323,,
