model,replicate,realization,temperature,block_size,surrogate_seed,surrogate_iteration_count,radial_distribution_maximum_absolute_error,cross_spectral_matrix_nrmse,one_block_msd_relative_error,one_block_ngp_absolute_error,one_block_fs_maximum_absolute_error
radial_multivariate_surrogate,1.0,0.0,0.58,20.0,1211006.0,240.0,4.440892098500626e-16,0.06613585370710348,2.220446049250313e-16,4.440892098500626e-16,0.0007971437457084396
radial_multivariate_surrogate,1.0,1.0,0.58,20.0,1308415.0,240.0,4.440892098500626e-16,0.06638405357534828,0.0,0.0,0.0003414717507270182
radial_multivariate_surrogate,1.0,2.0,0.58,20.0,1405824.0,240.0,2.220446049250313e-16,0.06696504242303737,0.0,0.0,0.0004627707439667228
radial_multivariate_surrogate,1.0,3.0,0.58,20.0,1503233.0,240.0,4.440892098500626e-16,0.0660417640629976,0.0,0.0,0.0008575050452053201
radial_multivariate_surrogate,1.0,4.0,0.58,20.0,1600642.0,240.0,4.440892098500626e-16,0.06583511880793544,0.0,0.0,0.0003869391696125768
radial_multivariate_surrogate,1.0,5.0,0.58,20.0,1698051.0,240.0,4.440892098500626e-16,0.06621556620993722,0.0,0.0,0.0005738840121741751
radial_multivariate_surrogate,1.0,6.0,0.58,20.0,1795460.0,240.0,4.440892098500626e-16,0.06632417415829607,0.0,0.0,0.0008329594592630385
radial_multivariate_surrogate,1.0,7.0,0.58,20.0,1892869.0,240.0,4.440892098500626e-16,0.0659284258279074,0.0,0.0,0.0007380132939548423
radial_multivariate_surrogate,2.0,0.0,0.58,20.0,2211009.0,240.0,4.440892098500626e-16,0.06665688219115912,0.0,0.0,0.000407941482683416
radial_multivariate_surrogate,2.0,1.0,0.58,20.0,2308418.0,240.0,4.440892098500626e-16,0.06666336273701862,0.0,0.0,0.00034145608557623053
radial_multivariate_surrogate,2.0,2.0,0.58,20.0,2405827.0,240.0,4.440892098500626e-16,0.0660510026339844,0.0,0.0,0.0006667672064567531
radial_multivariate_surrogate,2.0,3.0,0.58,20.0,2503236.0,240.0,4.440892098500626e-16,0.06703393727571276,0.0,0.0,0.0003877361806641222
radial_multivariate_surrogate,2.0,4.0,0.58,20.0,2600645.0,240.0,4.440892098500626e-16,0.06587538687555793,0.0,0.0,0.00043612008091559185
radial_multivariate_surrogate,2.0,5.0,0.58,20.0,2698054.0,240.0,4.440892098500626e-16,0.06586097962587824,0.0,0.0,4.916508808694431e-05
radial_multivariate_surrogate,2.0,6.0,0.58,20.0,2795463.0,240.0,2.220446049250313e-16,0.06687879795671887,0.0,0.0,0.00022390741033290196
radial_multivariate_surrogate,2.0,7.0,0.58,20.0,2892872.0,240.0,2.220446049250313e-16,0.06602468953470475,0.0,0.0,3.4437814009913303e-05
radial_multivariate_surrogate,3.0,0.0,0.58,20.0,3211012.0,240.0,2.220446049250313e-16,0.06791845413858597,0.0,2.220446049250313e-16,0.0008498466101546365
radial_multivariate_surrogate,3.0,1.0,0.58,20.0,3308421.0,240.0,4.440892098500626e-16,0.0677019539224453,0.0,2.220446049250313e-16,0.0005327219618755374
radial_multivariate_surrogate,3.0,2.0,0.58,20.0,3405830.0,240.0,4.440892098500626e-16,0.06917808716018044,0.0,2.220446049250313e-16,0.0005168789636956772
radial_multivariate_surrogate,3.0,3.0,0.58,20.0,3503239.0,240.0,4.440892098500626e-16,0.0672566482366487,2.220446049250313e-16,8.881784197001252e-16,0.0006113205524289622
radial_multivariate_surrogate,3.0,4.0,0.58,20.0,3600648.0,240.0,2.220446049250313e-16,0.06725479053034639,0.0,2.220446049250313e-16,0.0006642126586323682
radial_multivariate_surrogate,3.0,5.0,0.58,20.0,3698057.0,240.0,4.440892098500626e-16,0.06772176546723288,0.0,2.220446049250313e-16,0.0003816111801780986
radial_multivariate_surrogate,3.0,6.0,0.58,20.0,3795466.0,240.0,4.440892098500626e-16,0.06716770839356119,0.0,2.220446049250313e-16,0.0003128108090457715
radial_multivariate_surrogate,3.0,7.0,0.58,20.0,3892875.0,240.0,2.220446049250313e-16,0.06762525759483057,0.0,2.220446049250313e-16,0.0006947510684371383
radial_multivariate_surrogate,4.0,0.0,0.58,20.0,4211015.0,240.0,4.440892098500626e-16,0.0665556505131937,2.220446049250313e-16,6.661338147750939e-16,0.00023535663035328946
