model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,replicate_first_aggregation,heldout_path_used_in_prediction,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,20.0,3.0,0.03923691667383441,0.03949186469853002,0.006455709970694334,0.0002121594392023741,0.6598427466252085,0.6751140847848851,0.015271338159676628,0.0016725602017177569,1.0,0.0,0.0,0.0,0.0,0.9743925298192485,0.9742347768868321,0.00015775293241637733,5.094147572449259e-06,0.9034618303161119,0.9029575283359126,0.0005043019801993509,1.672462722355157e-05,0.7278133437294446,0.7268548226920929,0.0009585210373517228,3.775531756341082e-05,0.45,5000.0,20.0,16.0,781031.0
radial_recoil_markov_surrogate,100.0,3.0,0.09560754431238638,0.057100198209926144,0.6743820040849915,0.0005388489717343447,0.4656134995443389,1.591737265317109,1.12612376577277,0.001597791628245992,1.0,0.0,0.0,0.0,0.0,0.9390897381635478,0.9636844599785942,0.024594721815046405,1.78075535080389e-05,0.7845376417428419,0.87093838803019,0.08640074628734806,5.191817732588303e-05,0.4763195694183187,0.6685948251395887,0.19227525572126997,9.009656447879693e-05,0.45,5000.0,20.0,16.0,781031.0
radial_recoil_markov_surrogate,200.0,3.0,0.17435413395845825,0.07520056123369138,1.3185217117813748,0.0009527942760833494,0.3103608781862822,2.006542528897479,1.696181650711197,0.0015390969257532267,1.0,0.0,0.0,0.0,0.0,0.8920167450811188,0.9533016497076988,0.061284904626579983,3.85410817098915e-05,0.6450792465823308,0.8424183294324846,0.19733908285015378,9.508592590531374e-05,0.26599206631227584,0.623679630548327,0.35768756423605114,0.00012913001445094815,0.45,5000.0,20.0,16.0,781031.0
radial_recoil_markov_surrogate,500.0,3.0,0.4116021228226952,0.1262955126161884,2.2590399634668934,0.0020861392246126743,0.18840378606679656,2.164410449673618,1.9760066636068214,0.0015364316621688289,1.0,0.0,0.0,0.0,0.0,0.7650096821949431,0.9255414798411173,0.1605317976461742,0.00012346815072042207,0.36349963012840153,0.7737458591055776,0.41024622897717605,0.00024617756153601147,0.05126477485401538,0.5291930232489127,0.47792824839489734,0.000177381688640671,0.45,5000.0,20.0,16.0,781031.0
radial_recoil_markov_surrogate,1000.0,3.0,0.8071505801950458,0.2096882357573943,2.8492888133643572,0.003577273015600194,0.14289484432723548,1.9242521838872673,1.7813573395600317,0.0015921681395702524,1.0,0.0,0.0,0.0,0.0,0.5949066650752751,0.8837103017827217,0.2888036367074466,0.0002582412720555037,0.14729045269602614,0.6839386458670308,0.5366481931710047,0.0002596419809553072,0.004517899671706599,0.4252107551608982,0.42069285548919155,0.00016092769581564748,0.45,5000.0,20.0,16.0,781031.0
radial_recoil_markov_surrogate,2000.0,3.0,1.5977737840112873,0.3804918087436149,3.1992330644045692,0.006385218001830413,0.12082742769384076,1.444557669873739,1.3237302421798982,0.001947383745874991,1.0,0.0,0.0,0.0,0.0,0.3660766117065996,0.8061750197934496,0.44009840808685,0.0005383999561408568,0.028652365104705313,0.5420765220261176,0.5134241569214122,0.0004088690047777689,0.00012497079723628395,0.2894792740466868,0.2893543032494505,0.000209462866757472,0.45,5000.0,20.0,16.0,781031.0
radial_recoil_markov_surrogate,3000.0,3.0,2.3876143567190837,0.5428630069869955,3.3981894621459805,0.009105859412347159,0.11437057167085492,1.188746539691488,1.074375968020633,0.0024672107909381224,1.0,0.0,0.0,0.0,0.0,0.22970086247857924,0.7409790220423944,0.5112781595638152,0.0007276277331981725,0.005488785354968701,0.44362214992805216,0.43813336457308344,0.0004753886274569017,0.00018673247438094845,0.2129683136864647,0.21278158121208376,0.0002629504814382007,0.45,5000.0,20.0,16.0,781031.0
