source_id,sample_id,area_fraction,time_step_seconds,published_tau_alpha_seconds,source_sha256,wave_number_inverse_microns,lag_frames,lag_seconds,lag_over_published_tau_alpha,pair_count,msd,ngp_2d,self_intermediate_scattering
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,1437.0,23710.5,7.9035,169465.0,20.30477066886968,0.4453303543972178,0.18690586098572914
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,2000.0,33000.0,11.0,85078.0,28.965134042878304,0.38210628626838106,-0.05187470973576094
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,1.0,16.5,0.0011785714285714286,700632.0,0.17928269590883658,0.5783413943394882,0.6956059376257426
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,2.0,33.0,0.002357142857142857,697101.0,0.2170678115509804,0.7084710858452401,0.6564910077908714
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,3.0,49.5,0.0035357142857142857,695445.0,0.2388313192272574,0.8217078917131275,0.638310449197186
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,4.0,66.0,0.004714285714285714,694221.0,0.25477151296201067,0.9137900148070603,0.6265883656321255
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,5.0,82.5,0.005892857142857143,693236.0,0.2680703777645708,0.9876209340333235,0.6176414623388311
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,7.0,115.5,0.00825,690281.0,0.28973031171363545,1.157693733589484,0.6056517955027432
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,10.0,165.0,0.011785714285714287,686743.0,0.3147911172010491,1.3647207236632433,0.5941380443898632
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,14.0,231.0,0.0165,682223.0,0.3446788991282909,1.59391608568715,0.5818880697503344
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,20.0,330.0,0.023571428571428573,675731.0,0.3829304536864522,1.8776296161960375,0.5689534253269459
vivek2017_2d_hard_colloid,t2_10_30b,0.78,16.5,14000.0,48a6d4dc642ad5b7d3913fc871312d116f9ccc92863eccac5f2e6e56148c07eb,3.0,27.0,445.5,0.03182142857142857,668818.0,0.4215277035008029,2.0961003701875285,0.5582157600157724
