model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,trajectory_sha256,trajectory_size_bytes,trajectory_hash_scope
phase_randomized_cross_spectrum,1.0,0.0,0.45,500.0,20.0,25.0,740602.0,0.1284470914585092,0.12726889615088294,0.009257527512688268,0.7256999367669701,2.240207131422164,1.514507194655194,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9202357296337218,0.9252086699236458,0.0049729402899240105,0.735342828636779,0.7741688168233672,0.03882598818658822,0.42797063080690023,0.533395281820343,0.10542465101344278,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,0.0,0.45,1000.0,20.0,50.0,658677.0,0.21347891903060448,0.21371648432894896,0.001111590896183845,0.988001370472976,2.035011317785304,1.0470099473123282,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8753620768902547,0.8825336715723144,0.007171594682059745,0.635484311454382,0.6840225543370759,0.04853824288269393,0.3286817161843178,0.43196745142274323,0.10328573523842544,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,0.0,0.45,2000.0,20.0,100.0,494827.0,0.38004463228472896,0.38494087781746295,0.012719474118973007,1.1400425076838858,1.5320813966552245,0.39203888897133865,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8018153539436427,0.8061233874084176,0.00430803346477493,0.5153036012759928,0.5436221107653332,0.028318509489340338,0.2375378928912228,0.29754222992878293,0.06000433703756014,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
phase_randomized_cross_spectrum,1.0,0.0,0.45,3000.0,20.0,150.0,330977.0,0.5442222960705055,0.5507382500974113,0.011831308295280452,1.2242549077606157,1.3301724324025965,0.10591752464198079,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7432222168074799,0.7425593344166428,0.0006628823908371162,0.44042781946469434,0.44897180267658227,0.008543983211887929,0.18737798041200404,0.22221602781950803,0.034838047407503986,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,0.0,0.45,20.0,20.0,1.0,819250.0,0.039293890621701764,0.039439034265083064,0.0036802027759031963,0.6731497953956405,0.6894572448102572,0.016307449414616704,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9743601788739554,0.9742726065504118,8.757232354361655e-05,0.9033927208400824,0.9031194881740169,0.0002732326660654927,0.7279091705203193,0.7273620752980499,0.000547095222269478,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,0.0,0.45,100.0,20.0,5.0,806142.0,0.05768524442396122,0.0570676716703697,0.010821761875247082,0.5098848249673229,1.6297339342658397,1.1198491092985168,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9626186175912087,0.9637263303218477,0.0011077127306390322,0.8618198085455727,0.8712844740845151,0.00946466553894243,0.6299591550046673,0.6701586799370863,0.04019952493241907,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,0.0,0.45,200.0,20.0,10.0,789757.0,0.07688828871513045,0.07543971565197483,0.019201730158134644,0.6169288427983528,2.0528096750212144,1.4358808322228616,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9507565337850687,0.9531991465279716,0.0024426127429028055,0.8234628845878241,0.8424536039827798,0.01899071939495567,0.5578753945855076,0.6251232912663965,0.06724789668088893,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,0.0,0.45,500.0,20.0,25.0,740602.0,0.12959025597863105,0.12726889615088294,0.01823980483806542,0.8520610819033592,2.240207131422164,1.388146049518805,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9199522571045361,0.9252086699236458,0.005256412819109713,0.736600274490121,0.7741688168233672,0.037568542333246246,0.43298178881577215,0.533395281820343,0.10041349300457086,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,0.0,0.45,1000.0,20.0,50.0,658677.0,0.21548876672952202,0.21371648432894896,0.008292679931255043,1.0606502329579253,2.035011317785304,0.9743610848273789,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8747965647349096,0.8825336715723144,0.007737106837404806,0.6354707117245614,0.6840225543370759,0.04855184261251455,0.32908041717755043,0.43196745142274323,0.1028870342451928,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
radial_multivariate_surrogate,1.0,0.0,0.45,2000.0,20.0,100.0,494827.0,0.38306848271394645,0.38494087781746295,0.0048641108580949055,1.1793190684957602,1.5320813966552245,0.3527623281594643,8.0,110.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8005394283736335,0.8061233874084176,0.005583959034784147,0.5131020072059465,0.5436221107653332,0.030520103559386724,0.2355538114645433,0.29754222992878293,0.061988418464239636,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,a6b7d77a357f762da123171f41fda22dd0fd12b6cf39533a17403dfdc61bfcc3,1574747373,complete_file
