temperature,model_code,lag,replicate_count,predicted_msd,observed_msd,msd_relative_error,predicted_fourth_moment,observed_fourth_moment,predicted_ngp,observed_ngp,ngp_absolute_error,maximum_count_tail_probability,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,ccc,20.0,3.0,0.0419154726020052,0.03949186469853002,0.06136980165348804,0.005215870662500122,0.004358074301659739,0.7812682608462493,0.6766043934790436,0.10466386736720579,1.1102230246251565e-16,0.9727255693975755,0.9742347768868319,0.0015092074892564256,0.8979210782174865,0.9029575283359126,0.005036450118426128,0.7161157414411706,0.7268548226920929,0.010739081250922267
0.45,ccc,50.0,3.0,0.050291268623069624,0.04695635520102237,0.07102155624665363,0.008942886715744492,0.007866374695904966,1.1215037199319835,1.1406078866688234,0.0191041667368399,0.0,0.9675996863660892,0.9696913070864693,0.0020916207203801607,0.8815469761757662,0.8886703237343586,0.007123347558592452,0.6837318326895258,0.6995204967944827,0.01578866410495694
0.45,ccc,100.0,3.0,0.06123097819516485,0.057100198209926144,0.07234265580045962,0.015309746166410435,0.01411335245273373,1.450060707766093,1.5972048553147098,0.14714414754861682,0.0,0.9610726424640038,0.9636844599785942,0.0026118175145903866,0.8618905484858937,0.8709383880301901,0.009047839544296332,0.6482598427438585,0.6685948251395887,0.020334982395730172
0.45,ccc,200.0,3.0,0.07981898647058938,0.07520056123369137,0.06141477086249281,0.029467936039132156,0.028383001374182756,1.7751633485541563,2.011392781175742,0.2362294326215859,0.0,0.950343076229483,0.9533016497076988,0.00295857347821582,0.8319016526732996,0.8424183294324846,0.010516676759184995,0.5998227417306542,0.6236796305483269,0.023856888817672672
0.45,ccc,500.0,3.0,0.128123678347936,0.1262955126161884,0.014475302359343356,0.08263331879119297,0.08409026771246454,2.0202830754677232,2.163159893849566,0.14287681838184296,0.0,0.9240925169580153,0.9255414798411173,0.001448962883102034,0.767310664262488,0.7737458591055776,0.006435194843089631,0.5127115032909264,0.5291930232489127,0.0164815199579863
0.45,ccc,1000.0,3.0,0.20614735884351099,0.2096882357573943,0.01688638802789122,0.20240746227608905,0.2133528256573274,1.8577367528603328,1.911397588989531,0.05366083612919814,2.220446049250313e-16,0.8848261512937197,0.8837103017827217,0.0011158495109979683,0.6836217055552801,0.6839386458670308,0.0003169403117506686,0.4199617539632279,0.4252107551608982,0.0052490011976703
0.45,ccc,2000.0,3.0,0.35990805931720415,0.3804918087436149,0.05409774653067656,0.5319913901891492,0.5843678384835524,1.4641816005520214,1.4218482813129847,0.042333319239036715,1.1102230246251565e-16,0.8150599915548494,0.8061750197934495,0.008884971761399907,0.559236622720214,0.5420765220261176,0.01716010069409646,0.3064247364448402,0.2894792740466868,0.01694546239815342
0.45,ccc,3000.0,3.0,0.5131246180462063,0.5428630069869955,0.05478065102620189,0.9789324819146925,1.0655669393941465,1.2307879353729048,1.1694592246975226,0.06132871067538215,1.1102230246251565e-16,0.7533500539248736,0.7409790220423944,0.012371031882479233,0.4665808579704101,0.44362214992805216,0.022958708042357945,0.2318430867325727,0.2129683136864647,0.01887477304610799
0.45,ccc,4096.0,3.0,0.6779276130191135,0.7020352157102732,0.03433959173510859,1.5501355644062975,1.6170913307904564,1.0237379843003147,0.9686476986099484,0.055090285690366336,1.1102230246251565e-16,0.6917496917897088,0.681698915318509,0.010050776471199785,0.3829135480061537,0.36547921475070194,0.01743433325545174,0.1723059409231121,0.1585948106586421,0.013711130264470017
0.45,hcc,20.0,3.0,0.042058311009978845,0.03949186469853002,0.06498670880801316,0.005277681673131696,0.004358074301659739,0.7901556186726353,0.6766043934790436,0.11355122519359173,0.0,0.9726379668028705,0.9742347768868319,0.0015968100839613975,0.8976420495527645,0.9029575283359126,0.0053154787831480865,0.7155867140247785,0.7268548226920929,0.011268108667314425
0.45,hcc,50.0,3.0,0.0505925888515919,0.04695635520102237,0.07743858387225,0.009097391542835183,0.007866374695904966,1.1325259809497852,1.1406078866688234,0.008081905719038218,4.929840968781463e-07,0.9674175830861372,0.9696913070864693,0.0022737240003321,0.8809887579043281,0.8886703237343586,0.007681565830030546,0.6827444866468984,0.6995204967944827,0.01677601014758434
0.45,hcc,100.0,3.0,0.061742763994620385,0.057100198209926144,0.08130559840836393,0.015622079828948423,0.01411335245273373,1.4587703559948233,1.5972048553147098,0.1384344993198865,9.95618779642271e-07,0.9607689189766253,0.9636844599785942,0.002915541001968891,0.8610012700819024,0.8709383880301901,0.009937117948287666,0.6468033028054934,0.6685948251395887,0.021791522334095315
