temperature,replicate,parent_id,velocity_seed,independence_class,completion_state,exit_code,exit_code_source,production_frame_count,trajectory_sha256,trajectory_size_bytes,parent_manifest_sha256,final_restart_sha256,error_match_count,scientific_ingestion_allowed,positive_memory_closure_claim_allowed,complete_microscopic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_glass_transition_claim_allowed,microdynamic_closure_claim_allowed,thermodynamic_claim_allowed
0.45,1,ka-t045-independent-p02-20260719,4502002,independent_type_assignment_melt_cool_hold_history,blocked_missing_observed_exit_code,,unavailable_original_launcher_did_not_persist_wait_status,10001,5c8c932562c3191eda9afa526187324b63516ea38a9a7b4e7ce71ec09389e1db,398759610,e9cb64a66e32f8cb43c431a11503c9ac1fa91e9ff680d2e5dffe5df031f801b1,4c5426395d3469befc2181b581c05eb1e5de3c2df36fd7623fa82972279ccf67,0,0,0,0,0,0,0,0
0.45,2,ka-t045-independent-p03-20260719,4503002,independent_type_assignment_melt_cool_hold_history,blocked_missing_observed_exit_code,,unavailable_original_launcher_did_not_persist_wait_status,10001,073ab3b8f57e92f48429df4733e77c15b1477dd288d4ad87cc7141c8ef27075d,399273288,53b0f66c3e08588c996c1212b6af9f560bc8093ab20828b22076e3f903f3e339,76da7661175db2752efd07488a626290d307d4567627ff45fa466799c6140451,0,0,0,0,0,0,0,0
